created_date,hashtags,num_hashtags,tweet_length,tweet_text
2020-08-24 07:19:13,,0,140,"Shame you’re not as tough on stopping the illegal invasion on the Channel!!

If it was that deadly why ship illegal… https://t.co/bItAkQcvCX"
2020-08-24 07:18:54,,0,139,"BREAKING NEWS: The Virus has a new serious symptom!
Everytime I talk about the Covids I break out in a bad dose of… https://t.co/A3dwV04YUh"
2020-08-24 07:18:01,BLM CovidHoax,2,94,@o_rips All lives matter. #BLM is nothing more than an organised distraction to the #CovidHoax
2020-08-24 07:17:57,COVID19,1,140,"New analysis #COVID19 house ARREST..while they release prisoners
BECAUSE WE'RE ALL IMPRISONED SO WHY FEED $$ SOME?!… https://t.co/DWIYrZbzkK"
2020-08-24 07:13:02,GMB notomasks,2,46,No masks in the classroom @GMB #GMB #notomasks
2020-08-24 07:05:55,CovidHoax,1,51,@WeThePe43682201 Guess #CovidHoax scared them away?
2020-08-24 06:52:04,,0,140,"@sherie02634093 Cases?!?
The test is not for for purpose!
The test does not test for Covid19
It tests for strain of… https://t.co/AcPUlhsKKx"
2020-08-24 05:46:33,NWO UN Covid19 ID2020,4,138,New World Slavery Order by the banker for the banker #NWO #UN #Covid19 #ID2020 Enablers to be destroyed too ⁦@BBC… https://t.co/BAYHQBPGRO
2020-08-24 05:36:26,covidHOAX WTFU PLANDEMIC HELP NoMasks,5,140,"#covidHOAX #WTFU #PLANDEMIC #HELP #NoMasks 

MASS INSANITY.
MEDIA, this is YOUR FAULT.

Every false flag is brought… https://t.co/yvRiTETNMF"
2020-08-24 05:21:55,covidHOAX MSM NWO FASCISM PLANDEMIC,5,78,"#covidHOAX #MSM #NWO #FASCISM #PLANDEMIC

TURN IT OFF. https://t.co/KdBuAIUjfU"
2020-08-24 05:13:17,covidHOAX NoMasks WTFU,3,91,"#covidHOAX #NoMasks #WTFU 

Jack Willis - Mask World 

https://t.co/FNKaDRTVE8 via @YouTube"
2020-08-24 05:02:09,CovidHoax,1,58,"NOT ONE ""MASK"" IN SIGHT #CovidHoax https://t.co/g6pdGHa1K9"
2020-08-24 03:48:53,,0,139,This may explain why genetic companies are processing COVID 19 tests. Gathering information for genetic extinction… https://t.co/kl6MbaEbKx
2020-08-24 03:45:22,COVID19,1,140,"This is CDC’s guidance on quarantining after exposure to someone tested + for #COVID19 
It explicitly states whethe… https://t.co/IlhZondOWJ"
2020-08-24 03:34:33,CovidHoax Democrat,2,140,#CovidHoax !!   The new confederacy of #Democrat governors sabotaged the strongest economy in history with their un… https://t.co/p7375iIFFg
2020-08-24 02:58:43,nomask fuckyourmask plannedemic covidhoax,4,96,No words #nomask #fuckyourmask #plannedemic #covidhoax @ The White House https://t.co/ojyvVNU2ku
2020-08-24 02:52:41,,0,140,@13abc Why even bother testing?  These tests are completely meaningless and the only purpose they serve is to perpe… https://t.co/XAIBQHIvkY
2020-08-24 02:50:18,,0,140,"Wonder why MSM hasn't covered this. I mean they covered his new book. Makes ya wonder what de Mayor got on them?
He… https://t.co/8wmSf78U7E"
2020-08-24 02:40:21,CovidHoax,1,139,"It's taken over a year to get back to church

We moved neighborhoods

#CovidHoax shut a lot of them down

I looked… https://t.co/WAA5WGzmTC"
2020-08-24 02:23:00,,0,134,"What's sad is that the police raid likely killed more people than the ""lack of social distancing"" would have.… https://t.co/LjGtKR5ag6"
2020-08-24 02:18:39,,0,140,@ClayTravis Wait till the real figures come out. Well after the election. All this panic will have been for nothin.… https://t.co/x125mbPPGH
2020-08-24 02:03:57,,0,144,"@craigoIson @aus_echo @RealEricCarmen Also the 5 governors in NY, NJ, PA, MI &amp; CA (all Democrats) forced covid pati… https://t.co/Jd5bAWVAnC"
2020-08-24 02:00:01,Plandemic Scamdemic Pandemic Endlockdown CovidHoax Awake Freedom Awake WeDoNotConsent,9,137,Food for thought? #Plandemic #Scamdemic #Pandemic #Endlockdown #CovidHoax #Awake #Freedom #Awake #WeDoNotConsent… https://t.co/xHGx2a5Qgc
2020-08-24 01:45:56,COVID19 coronavirus CovidHoax faketest scamdemic2020,5,138,"The 100 year old died of COVID-19.

Suuuuure she did. 🙄

#COVID19 #coronavirus #CovidHoax #faketest #scamdemic2020 https://t.co/ASYz5qebFf"
2020-08-24 01:28:59,CovidHoax,1,70,Let’s elect @LorenCulp and end the #CovidHoax. https://t.co/uihhlDEACA
2020-08-24 01:26:51,WakeUp endthelockdown,2,137,"@ottawasuncom Aka most of Hollywood, royal families, the Catholic Church, Clinton’s..... #WakeUp #endthelockdown… https://t.co/c0FeRrQAa1"
2020-08-24 01:22:46,WhataJoke CovidHoax COVIDIOTS,3,108,They’re using fake cardboard people for an audience #WhataJoke #CovidHoax #COVIDIOTS https://t.co/Sp7txpwPxR
2020-08-24 01:20:52,WhataJoke CovidHoax COVIDIOTS,3,108,They’re using fake cardboard people for an audience #WhataJoke #CovidHoax #COVIDIOTS https://t.co/bwYScaqQ8d
2020-08-24 00:58:31,FakeData CovidHoax,2,69,This is the problem with #FakeData #CovidHoax https://t.co/SEGIa222xb
2020-08-24 00:58:27,CovidHoax,1,140,Life in prison for violating #CovidHoax mandates?! GTFOH   -_- I don't know WHEN we ALL are going to show these fec… https://t.co/sCuzB73k37
2020-08-24 00:52:54,BigBrother bigbrotherallstars JulieChen CovidHoax,4,81,#BigBrother #bigbrotherallstars Why doesn’t #JulieChen wear a mask???  #CovidHoax
2020-08-24 00:40:53,MAGA,1,130,@GovMurphy You voted for this NJ!! No respect for the small business owner by Murphy!! @RikMehta_NJ #MAGA… https://t.co/Ech6HLMbhK
2020-08-24 00:14:33,CovidHoax,1,135,"@SVNewsAlerts @CGAdamo We need more protest, more mass civil disobedience against tyrannical and non-sensical mask dictates. #CovidHoax"
2020-08-24 00:11:55,,0,139,"What is the point of saving lives, if it means we stop living...

Shut the tv off...
Go outside...
Hug someone you… https://t.co/WTduDzi7fq"
2020-08-24 00:08:58,COVID NFL NFLTwitter chicagobears Steelers COVID1984 COVIDIOTS CovidHoax coronascam,9,134,Imagine my shock #COVID #NFL #NFLTwitter #chicagobears #Steelers #COVID1984 #COVIDIOTS #CovidHoax #coronascam… https://t.co/39C9ctlocQ
2020-08-24 00:07:44,,0,134,"@tomfitton
💥RETWEET FOLLOW💥
Help our lawyers legally end medical mandates without exemptions once and for all… https://t.co/qzTPbWOSDE"
2020-08-24 00:04:19,KeepSmilin CovidHoax COVIDIOTS ZeugenCoronas LacheIschGsund,5,138,"Who needs a fun break?
#KeepSmilin especially in times of #CovidHoax #COVIDIOTS #ZeugenCoronas
#LacheIschGsund🌹🌹🌹… https://t.co/TyEN0THAEg"
2020-08-24 00:00:00,Coronavirus Sturgis,2,140,"Only 22 #Coronavirus cases linked to #Sturgis Rally, out of a crowd of nearly 500,000 people.
""Social distancing"" w… https://t.co/OtC6oTJyEE"
2020-08-23 23:55:14,CovidHoax,1,140,Do you want to know how real the #CovidHoax is? Declare @realDonaldTrump a wartime president and cancel the electio… https://t.co/Jyiu8UaBMN
2020-08-23 23:48:50,plandemic CovidHoax,2,115,@RetiredMaybe @JoeBiden @ReesusP It’s almost as if they PLANNED it... #plandemic #CovidHoax https://t.co/41GupwliIy
2020-08-23 23:42:58,CovidHoax,1,139,@toddeherman @MAGA_WAmom Agreed. I’ve been saying consistently since the beginning of the #CovidHoax in March that… https://t.co/rauEdhwVt3
2020-08-23 23:41:33,ResistForcedVaccinations BillGatesEvil CovidHoax,3,93,"So. It. Begins.

#ResistForcedVaccinations
#BillGatesEvil 
#CovidHoax https://t.co/0BHCpRKYiw"
2020-08-23 23:37:52,,0,132,"Ireland's Bermuda triangle, Judicial Council.
Wonder where did Chief Justice Frank Clarke go to on holiday?… https://t.co/Rl1nJvsykw"
2020-08-23 23:36:57,PlasmaTherapy,1,139,"Reminder - in April 

#PlasmaTherapy pursued by independent medical community as done with various other diseases.… https://t.co/vYSTc8denw"
2020-08-23 23:28:27,noworldorder covidhoax pedogate BidenHarrisLandslide2020,4,123,joe biden calls for a new world order #noworldorder #covidhoax #pedogate #BidenHarrisLandslide2020… https://t.co/f1r8WRxX3g
2020-08-23 23:25:50,COVIDIOTS CovidHoax OPENAMERICANOW,3,117,"And if you don’t use your umbrella, mine won’t work. 😆

#COVIDIOTS #CovidHoax #OPENAMERICANOW https://t.co/3S1r8s284k"
2020-08-23 23:22:24,CovidHoax,1,140,"There are more false positives than accurate ones. #CovidHoax

NFL positive COVID-19 tests from NJ lab could be fal… https://t.co/4xNZxpmLJ1"
2020-08-23 23:08:00,CovidHoax PlasmaTherapy LoseEverythingWithTrump,3,105,"Trump thinks convalescent plasma comes from old TVs.
#CovidHoax 
#PlasmaTherapy 
#LoseEverythingWithTrump"
2020-08-23 23:07:35,,0,136,"@walterowensgrpa Yeah,,,I wonder what that Mary Ann Trump is saying now. She does not seem very ladylike to me.… https://t.co/gPbN9l9UBL"
2020-08-23 23:07:05,,0,140,"@k2pointO @SaskLass @RealCdnSS Sorry but I disagree. It’s not that we didn’t have enough then, it’s that we have to… https://t.co/nfguxxcGKn"
2020-08-23 23:06:41,CovidHoax NoMasks stopgates fakenews,4,144,"Amen!
💥RETWEET FOLLOW💥
Help our lawyers legally prove a #CovidHoax &amp; end mandates #NoMasks #stopgates 
#fakenews
KE… https://t.co/FhZPFqQY9w"
2020-08-23 23:00:01,Plandemic,1,137,"PROGRAMMED TO HATE YOUR FELLOW MAN, ITS ONLY A MASK, ITS ONLY CASHLESS, ITS ONLY THE NEW NORM ....... #Plandemic… https://t.co/6fxprhLb9X"
2020-08-23 22:58:19,NoMasks,1,132,"💥RETWEET FOLLOW💥
Help our lawyers legally end medical mandates without exemptions once and for all #NoMasks… https://t.co/O4PWDC6Uhl"
2020-08-23 22:55:41,CovidHoax CovideoParty,2,87,No mask to buy a pint but need a mask to buy a pint of milk? 😂 #CovidHoax #CovideoParty
2020-08-23 22:53:33,CovidHoax,1,130,"New Jersey school to begin year online – only after mold discovered in cafeteria

Is it #CovidHoax mold or racist homophobic mold."
2020-08-23 22:53:26,CovidHoax COVIDー19 covidcure,3,140,The Charlie Kirk Show: Nine Doctors Speak Out. https://t.co/AZYGaeXBD9 via @YouTube #CovidHoax #COVIDー19 #covidcure… https://t.co/WGDofaw8NM
