created_date,hashtags,num_hashtags,tweet_length,tweet_text
2020-08-30 15:11:32,WearAMask,1,107,@davenewworld_2 I wonder when he gets home if he reflects on the fact that he is bat shit crazy. #WearAMask
2020-08-30 15:10:21,WearAMask,1,97,"@steveagee Always old, white men I see in these videos... Sensing an asshole pattern...#WearAMask"
2020-08-30 15:10:16,StaySafe WearAMask,2,117,"Good morning, time for breakfast!! Hope you all have a lovely Sunday. #StaySafe #WearAMask 😷😘 https://t.co/bTNwuvA0wp"
2020-08-30 15:09:40,WearAMask,1,63,This is perfection. @dripatl #WearAMask https://t.co/YCrz4TDghz
2020-08-30 15:09:16,,0,139,"Anti maskers! Fine, no one is forcing you to wear a mask. Just don’t use our shops, bars, buses, trains, hospitals… https://t.co/ri8PpL1sYE"
2020-08-30 15:09:12,,0,140,@hi3girls @Npw1234567 @notcapnamerica Yep! The rest of the world is collectively wearing masks in public and has go… https://t.co/WPbxVhIocX
2020-08-30 15:08:59,COVID19,1,140,"Today, 30 August, @MontgomeryCoMD has seen 19,946 confirmed cases of #COVID19 (cumulative). The death toll stands a… https://t.co/qQMXukWCbD"
2020-08-30 15:08:04,facemask,1,132,"Check out i ain't a KAREN! Available for the next 1 day via @Teespring: https://t.co/RWIwPFpHMd 

#facemask… https://t.co/sMBhs5lvWl"
2020-08-30 15:07:58,,0,140,@sksmg54 @davenewworld_2 Masks aren't tearing people apart. Assholes like this guy is. Just wear the damn mask or d… https://t.co/iY4YF7iPys
2020-08-30 15:07:31,cocaineeyes COVID19 SundayMorning TrumpsAmerica COVID WearAMask,6,112,https://t.co/rN5RchAIzN He looked like it. #cocaineeyes #COVID19 #SundayMorning #TrumpsAmerica #COVID #WearAMask
2020-08-30 15:07:01,covid facemasks StaySafe,3,129,"If I can't laugh, I'll cry. Keep smiling. Stay safe. https://t.co/WcL15rQfaQ #covid #facemasks #StaySafe… https://t.co/tI3GmnApdz"
2020-08-30 15:06:15,wearamask,1,73,"Mask washing day. #wearamask😷 @ Round Rock, Texas https://t.co/Jw5EZmSwts"
2020-08-30 15:06:05,COVID19 coronavirus SundayMorning,3,136,https://t.co/WIVja0Onx0 CHARLOTTESVILLE ALL OVER AGAIN.  TRUMP'S AMERICA.  #COVID19 #coronavirus #SundayMorning… https://t.co/ZPrLntUWuX
2020-08-30 15:05:56,WearAMask WearASeatBelt DontDrinkAndDrive BrushYourTeeth,4,140,"@LordBrexit @JamieKay22 @London1capital #WearAMask #WearASeatBelt #DontDrinkAndDrive 
#BrushYourTeeth
Listen flower… https://t.co/Ss5eYOdFDR"
